param-n,abstract+rewrite-strat-bottomup-real,abstract+rewrite-strat-topdown-real,close-abstract+rewrite-strat-bottomup-real,close-abstract+rewrite-strat-topdown-real,rewrite-strat-bottomup-real,rewrite-strat-bottomup-noop-real,rewrite-strat-topdown-real,rewrite-strat-topdown-noop-real
1,0.002,0.003,0.,0.,0.002,0.,0.002,0.
2,0.002,0.001,0.,0.,0.001,0.,0.001,0.
3,0.002,0.002,0.,0.,0.001,0.,0.001,0.
4,0.005,0.004,0.,0.,0.004,0.,0.003,0.
5,0.004,0.002,0.,0.,0.003,0.,0.001,0.
6,0.006,0.003,0.001,0.001,0.004,0.,0.002,0.
7,0.006,0.004,0.001,0.001,0.005,0.,0.002,0.
8,0.008,0.004,0.001,0.001,0.006,0.,0.003,0.
9,0.008,0.004,0.001,0.,0.006,0.,0.003,0.
10,0.011,0.005,0.001,0.001,0.008,0.,0.004,0.
11,0.01,0.006,0.001,0.001,0.008,0.,0.004,0.
12,0.064,0.006,0.001,0.001,0.062,0.,0.004,0.
13,0.01,0.007,0.001,0.001,0.008,0.,0.005,0.
14,0.011,0.059,0.001,0.001,0.009,0.,0.058,0.
15,0.012,0.006,0.001,0.001,0.009,0.,0.004,0.
16,0.014,0.01,0.002,0.004,0.01,0.,0.005,0.
17,0.015,0.012,0.003,0.001,0.012,0.,0.009,0.
18,0.019,0.008,0.002,0.001,0.015,0.,0.006,0.
19,0.017,0.01,0.002,0.001,0.013,0.,0.007,0.
20,0.028,0.01,0.009,0.002,0.017,0.,0.007,0.
21,0.02,0.012,0.003,0.004,0.016,0.,0.008,0.
22,0.025,0.011,0.003,0.002,0.021,0.,0.008,0.
23,0.023,0.012,0.003,0.003,0.019,0.,0.009,0.
24,0.025,0.013,0.004,0.002,0.02,0.,0.009,0.
25,0.027,0.014,0.004,0.003,0.022,0.,0.01,0.
26,0.027,0.017,0.004,0.003,0.022,0.,0.013,0.
27,0.029,0.015,0.005,0.003,0.023,0.,0.011,0.
28,0.034,0.017,0.005,0.003,0.028,0.,0.012,0.
29,0.032,0.018,0.005,0.004,0.025,0.,0.013,0.
30,0.039,0.021,0.006,0.004,0.032,0.,0.016,0.
31,0.036,0.02,0.006,0.004,0.029,0.,0.015,0.
32,0.041,0.021,0.006,0.004,0.033,0.,0.016,0.
33,0.039,0.026,0.006,0.004,0.031,0.,0.021,0.
34,0.042,0.023,0.007,0.004,0.033,0.,0.017,0.
35,0.044,0.024,0.008,0.005,0.034,0.,0.017,0.
36,0.046,0.024,0.007,0.005,0.037,0.,0.018,0.
37,0.049,0.025,0.008,0.005,0.04,0.,0.019,0.
38,0.054,0.03,0.012,0.006,0.04,0.,0.023,0.
39,0.053,0.029,0.009,0.006,0.042,0.,0.021,0.
40,0.054,0.032,0.009,0.006,0.043,0.,0.024,0.
41,0.056,0.031,0.009,0.006,0.046,0.,0.023,0.
42,0.061,0.045,0.009,0.01,0.05,0.,0.033,0.
43,0.064,0.035,0.013,0.007,0.049,0.,0.026,0.
44,0.064,0.036,0.011,0.007,0.052,0.,0.027,0.
45,0.067,0.036,0.012,0.008,0.053,0.,0.027,0.
46,0.073,0.041,0.013,0.009,0.058,0.,0.03,0.
47,0.071,0.042,0.012,0.009,0.057,0.,0.029,0.002
48,0.078,0.043,0.014,0.009,0.062,0.,0.032,0.
49,0.079,0.045,0.015,0.009,0.063,0.,0.034,0.
50,0.16,0.117,0.014,0.065,0.144,0.,0.049,0.
51,0.086,0.046,0.017,0.009,0.067,0.,0.036,0.
