param-0-n,param-1-lgn,try-ssr-rewrite!-cold-noop-regression-linear-real,try-ssr-rewrite!-cold-noop-regression-linear-sys,try-ssr-rewrite!-cold-noop-regression-linear-user,try-ssr-rewrite!-evar-noop-regression-linear-real,try-ssr-rewrite!-evar-noop-regression-linear-sys,try-ssr-rewrite!-evar-noop-regression-linear-user,try-ssr-rewrite!-noop-regression-linear-real,try-ssr-rewrite!-noop-regression-linear-sys,try-ssr-rewrite!-noop-regression-linear-user,try-ssr-rewrite-evar-noop-regression-linear-real,try-ssr-rewrite-evar-noop-regression-linear-sys,try-ssr-rewrite-evar-noop-regression-linear-user,try-ssr-rewrite-noop-regression-linear-real,try-ssr-rewrite-noop-regression-linear-sys,try-ssr-rewrite-noop-regression-linear-user,try-ssr-rewrite?-evar-noop-regression-linear-real,try-ssr-rewrite?-evar-noop-regression-linear-sys,try-ssr-rewrite?-evar-noop-regression-linear-user,try-ssr-rewrite?-noop-regression-linear-real,try-ssr-rewrite?-noop-regression-linear-sys,try-ssr-rewrite?-noop-regression-linear-user
3,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
7,2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
15,3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
31,4,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
63,5,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
127,6,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
255,7,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
511,8,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
1023,9,0.001,0.001,0.,0.001,0.,0.001,0.001,0.001,0.,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.001,0.,0.001
2047,10,0.001,0.,0.,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001
4095,11,0.002,0.,0.002,0.002,0.,0.002,0.002,0.,0.001,0.001,0.,0.001,0.002,0.,0.002,0.001,0.,0.001,0.001,0.,0.001
8191,12,0.004,0.,0.004,0.003,0.,0.003,0.003,0.,0.003,0.003,0.,0.003,0.003,0.,0.003,0.003,0.,0.003,0.003,0.,0.003
16383,13,0.007,0.,0.007,0.007,0.,0.007,0.007,0.,0.007,0.007,0.,0.007,0.007,0.,0.007,0.008,0.,0.008,0.018,0.,0.018
32767,14,0.014,0.,0.014,0.014,0.,0.014,0.014,0.,0.014,0.019,0.,0.019,0.084,0.,0.084,0.014,0.,0.014,0.014,0.,0.014
65535,15,0.042,0.007,0.034,0.042,0.,0.042,0.029,0.,0.029,0.029,0.,0.029,0.029,0.,0.029,0.029,0.,0.029,0.029,0.,0.029
131071,16,0.111,0.005,0.101,0.074,0.,0.074,0.149,0.,0.149,0.062,0.,0.062,0.099,0.,0.099,0.064,0.,0.064,0.063,0.,0.063
262143,17,0.187,0.003,0.183,0.132,0.,0.132,0.13,0.,0.13,0.133,0.,0.133,0.13,0.,0.13,0.132,0.,0.132,0.131,0.,0.131
524287,18,0.385,0.004,0.381,0.257,0.,0.256,0.259,0.,0.259,0.257,0.,0.257,0.259,0.,0.259,0.258,0.,0.257,0.257,0.,0.257
1048575,19,0.781,0.,0.781,0.517,0.,0.517,0.516,0.,0.516,0.517,0.,0.517,0.513,0.,0.513,0.52,0.,0.52,0.513,0.,0.513
2097151,20,1.324,0.015,1.308,1.042,0.,1.042,1.034,0.,1.034,1.031,0.,1.031,1.045,0.,1.045,1.034,0.,1.033,1.045,0.,1.045
4194303,21,2.354,0.039,2.314,2.055,0.,2.054,2.065,0.,2.064,2.06,0.,2.059,2.059,0.,2.059,2.055,0.,2.055,2.078,0.,2.078
8388607,22,4.392,0.008,4.383,4.142,0.,4.142,4.128,0.,4.127,4.139,0.,4.138,4.103,0.,4.102,4.117,0.,4.117,4.121,0.008,4.112
