param-n,abstract-regression-quadratic-real,close-abstract-regression-quadratic-real,ssr-rewrite!-regression-quadratic-real,ssr-rewrite?-noop-regression-linear-real
1,0.,0.,0.,0.
2,0.001,0.,0.,0.
3,0.001,0.,0.,0.
4,0.001,0.,0.,0.
5,0.002,0.,0.001,0.
6,0.002,0.,0.001,0.
7,0.003,0.001,0.001,0.
8,0.004,0.001,0.002,0.
9,0.004,0.001,0.002,0.
10,0.005,0.001,0.003,0.
11,0.005,0.001,0.003,0.
12,0.006,0.002,0.003,0.
13,0.007,0.001,0.004,0.
14,0.007,0.001,0.004,0.
15,0.006,0.002,0.003,0.
16,0.006,0.002,0.003,0.
17,0.007,0.002,0.004,0.
18,0.007,0.002,0.004,0.
19,0.008,0.002,0.005,0.
20,0.009,0.003,0.005,0.
21,0.012,0.005,0.006,0.
22,0.01,0.003,0.006,0.
23,0.011,0.004,0.007,0.
24,0.012,0.004,0.008,0.
25,0.013,0.004,0.008,0.
26,0.016,0.005,0.01,0.
27,0.015,0.005,0.009,0.
28,0.016,0.005,0.01,0.
29,0.018,0.006,0.01,0.
30,0.018,0.006,0.011,0.
31,0.019,0.006,0.012,0.
32,0.022,0.007,0.014,0.
33,0.022,0.007,0.013,0.
34,0.024,0.008,0.014,0.
35,0.024,0.008,0.015,0.
36,0.025,0.008,0.016,0.
37,0.028,0.009,0.019,0.
38,0.029,0.01,0.017,0.
39,0.029,0.01,0.018,0.
40,0.033,0.012,0.019,0.
41,0.032,0.011,0.02,0.
42,0.035,0.011,0.023,0.
43,0.038,0.014,0.022,0.
44,0.036,0.013,0.023,0.
45,0.039,0.013,0.025,0.
46,0.042,0.016,0.025,0.
47,0.043,0.016,0.026,0.
48,0.042,0.015,0.027,0.
49,0.047,0.016,0.03,0.
50,0.122,0.076,0.046,0.
51,0.049,0.016,0.032,0.
52,0.051,0.017,0.033,0.
53,0.052,0.017,0.033,0.
54,0.056,0.019,0.036,0.
55,0.057,0.019,0.037,0.
56,0.06,0.02,0.038,0.
57,0.061,0.021,0.038,0.
58,0.066,0.024,0.04,0.
59,0.065,0.025,0.038,0.
60,0.067,0.022,0.043,0.
61,0.073,0.024,0.047,0.
62,0.073,0.027,0.045,0.
63,0.075,0.03,0.044,0.
64,0.082,0.028,0.053,0.
65,0.079,0.03,0.048,0.
66,0.081,0.028,0.051,0.
67,0.09,0.033,0.055,0.
68,0.089,0.031,0.056,0.
69,0.091,0.034,0.056,0.
70,0.095,0.036,0.058,0.
71,0.098,0.038,0.059,0.
72,0.098,0.034,0.063,0.
73,0.108,0.037,0.069,0.
74,0.109,0.041,0.066,0.
75,0.11,0.041,0.067,0.
76,0.113,0.043,0.069,0.
77,0.116,0.043,0.071,0.
78,0.122,0.047,0.073,0.
79,0.122,0.045,0.076,0.
80,0.125,0.044,0.079,0.
81,0.125,0.04,0.083,0.
82,0.125,0.045,0.079,0.
83,0.125,0.046,0.078,0.
84,0.131,0.05,0.079,0.
85,0.133,0.051,0.08,0.
86,0.135,0.051,0.083,0.
87,0.145,0.052,0.091,0.
88,0.142,0.053,0.087,0.
89,0.145,0.057,0.087,0.
90,0.155,0.055,0.098,0.
91,0.156,0.059,0.094,0.
92,0.154,0.059,0.093,0.
93,0.163,0.059,0.102,0.
94,0.159,0.06,0.097,0.
95,0.169,0.062,0.106,0.
96,0.183,0.069,0.112,0.
97,0.183,0.077,0.104,0.
98,0.185,0.066,0.117,0.
99,0.202,0.076,0.124,0.
100,0.187,0.07,0.116,0.
110,0.234,0.091,0.141,0.
120,0.274,0.105,0.168,0.
130,0.333,0.124,0.207,0.
140,0.36,0.14,0.219,0.
150,0.432,0.171,0.259,0.
160,0.47,0.177,0.291,0.
170,0.524,0.193,0.329,0.
180,0.594,0.231,0.361,0.
190,0.689,0.264,0.422,0.
200,0.753,0.293,0.458,0.
210,0.781,0.282,0.497,0.
220,0.869,0.329,0.538,0.
230,0.94,0.352,0.586,0.
240,1.089,0.413,0.673,0.
250,1.09,0.412,0.676,0.
260,1.213,0.451,0.76,0.
270,1.284,0.475,0.806,0.
280,1.459,0.525,0.931,0.
290,1.497,0.549,0.945,0.
300,1.636,0.617,1.017,0.
310,1.77,0.666,1.101,0.
320,1.827,0.678,1.146,0.
330,1.98,0.705,1.272,0.
340,2.06,0.761,1.296,0.
350,2.14,0.793,1.345,0.
360,2.353,0.85,1.5,0.
370,2.475,0.946,1.526,0.
380,2.603,0.949,1.652,0.
390,2.725,0.971,1.751,0.
400,2.853,1.054,1.798,0.
