param-n,abstract+repeat-rewrite-strat-bottomup-regression-cubic-real,abstract+repeat-rewrite-strat-bottomup-regression-cubic-sys,abstract+repeat-rewrite-strat-bottomup-regression-cubic-user,abstract+repeat-rewrite-strat-topdown-regression-cubic-real,abstract+repeat-rewrite-strat-topdown-regression-cubic-sys,abstract+repeat-rewrite-strat-topdown-regression-cubic-user,close-abstract+repeat-rewrite-strat-bottomup-regression-quadratic-real,close-abstract+repeat-rewrite-strat-bottomup-regression-quadratic-sys,close-abstract+repeat-rewrite-strat-bottomup-regression-quadratic-user,close-abstract+repeat-rewrite-strat-topdown-regression-quadratic-real,close-abstract+repeat-rewrite-strat-topdown-regression-quadratic-sys,close-abstract+repeat-rewrite-strat-topdown-regression-quadratic-user,noop-repeat-rewrite-strat-bottomup-regression-cubic-real,noop-repeat-rewrite-strat-bottomup-regression-cubic-sys,noop-repeat-rewrite-strat-bottomup-regression-cubic-user,noop-repeat-rewrite-strat-topdown-regression-cubic-real,noop-repeat-rewrite-strat-topdown-regression-cubic-sys,noop-repeat-rewrite-strat-topdown-regression-cubic-user,repeat-rewrite-strat-bottomup-regression-cubic-real,repeat-rewrite-strat-bottomup-regression-cubic-sys,repeat-rewrite-strat-bottomup-regression-cubic-user,repeat-rewrite-strat-topdown-regression-cubic-real,repeat-rewrite-strat-topdown-regression-cubic-sys,repeat-rewrite-strat-topdown-regression-cubic-user
0,0.005,0.004,0.,0.005,0.,0.005,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.004,0.004,0.,0.005,0.,0.004
1,0.009,0.003,0.005,0.009,0.007,0.001,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.001,0.,0.001,0.006,0.003,0.003,0.007,0.007,0.
2,0.014,0.008,0.006,0.024,0.006,0.018,0.,0.,0.,0.001,0.001,0.,0.001,0.,0.,0.001,0.001,0.,0.012,0.007,0.004,0.02,0.003,0.017
3,0.027,0.012,0.014,0.024,0.,0.023,0.001,0.,0.001,0.001,0.,0.001,0.002,0.,0.001,0.001,0.,0.001,0.024,0.012,0.012,0.02,0.,0.02
4,0.033,0.011,0.021,0.033,0.007,0.025,0.001,0.,0.001,0.001,0.,0.001,0.002,0.,0.002,0.002,0.001,0.001,0.03,0.011,0.018,0.029,0.006,0.022
5,0.09,0.027,0.062,0.084,0.024,0.059,0.001,0.,0.001,0.001,0.,0.001,0.002,0.,0.002,0.002,0.,0.001,0.086,0.027,0.058,0.08,0.023,0.056
6,0.044,0.,0.044,0.039,0.,0.039,0.001,0.,0.001,0.001,0.,0.001,0.004,0.,0.004,0.002,0.,0.002,0.038,0.,0.038,0.035,0.,0.035
7,0.053,0.,0.053,0.053,0.,0.053,0.001,0.,0.001,0.001,0.,0.001,0.003,0.,0.003,0.004,0.,0.004,0.048,0.,0.048,0.047,0.,0.047
8,0.065,0.,0.065,0.064,0.,0.064,0.001,0.,0.001,0.001,0.,0.001,0.003,0.,0.003,0.004,0.,0.004,0.059,0.,0.059,0.057,0.,0.057
9,0.084,0.,0.084,0.078,0.,0.078,0.002,0.,0.002,0.002,0.,0.002,0.005,0.,0.005,0.004,0.,0.004,0.076,0.,0.076,0.071,0.,0.071
10,0.159,0.048,0.111,0.146,0.049,0.095,0.002,0.,0.002,0.002,0.,0.001,0.004,0.,0.004,0.004,0.,0.004,0.152,0.048,0.104,0.138,0.048,0.088
11,0.111,0.,0.111,0.109,0.,0.109,0.002,0.,0.002,0.002,0.,0.002,0.005,0.,0.005,0.005,0.,0.005,0.102,0.,0.102,0.101,0.,0.101
12,0.129,0.,0.129,0.128,0.,0.128,0.003,0.,0.003,0.003,0.,0.003,0.006,0.,0.006,0.005,0.,0.005,0.119,0.,0.119,0.119,0.,0.119
13,0.15,0.,0.15,0.15,0.,0.15,0.003,0.,0.003,0.004,0.,0.004,0.006,0.,0.006,0.007,0.,0.007,0.139,0.,0.139,0.138,0.,0.138
14,0.168,0.003,0.165,0.181,0.,0.181,0.004,0.,0.004,0.004,0.,0.004,0.007,0.,0.007,0.006,0.,0.006,0.156,0.003,0.153,0.169,0.,0.169
15,0.196,0.,0.196,0.203,0.,0.203,0.005,0.,0.005,0.005,0.,0.005,0.007,0.,0.007,0.008,0.,0.008,0.183,0.,0.183,0.188,0.,0.188
16,0.207,0.,0.207,0.228,0.,0.228,0.005,0.,0.005,0.005,0.,0.005,0.008,0.,0.008,0.01,0.,0.01,0.193,0.,0.192,0.211,0.,0.211
17,0.249,0.,0.249,0.255,0.,0.255,0.006,0.,0.006,0.006,0.,0.006,0.008,0.,0.008,0.008,0.,0.008,0.234,0.,0.234,0.239,0.,0.239
18,0.266,0.,0.266,0.268,0.,0.268,0.006,0.,0.006,0.006,0.,0.006,0.009,0.,0.009,0.011,0.,0.011,0.25,0.,0.25,0.249,0.,0.249
19,0.301,0.,0.301,0.305,0.,0.305,0.006,0.,0.006,0.007,0.,0.007,0.01,0.,0.01,0.009,0.,0.009,0.283,0.,0.283,0.288,0.,0.288
20,0.34,0.,0.34,0.31,0.,0.31,0.007,0.,0.007,0.006,0.,0.006,0.011,0.,0.011,0.01,0.,0.01,0.321,0.,0.32,0.294,0.,0.294
21,0.374,0.,0.374,0.383,0.,0.383,0.008,0.,0.008,0.008,0.,0.008,0.011,0.,0.011,0.011,0.,0.011,0.354,0.,0.354,0.363,0.,0.363
22,0.398,0.,0.398,0.423,0.,0.423,0.008,0.,0.008,0.008,0.,0.008,0.012,0.,0.012,0.014,0.,0.014,0.376,0.,0.376,0.4,0.,0.4
23,0.469,0.,0.469,0.427,0.,0.427,0.01,0.,0.01,0.009,0.,0.009,0.012,0.,0.012,0.012,0.,0.012,0.445,0.,0.445,0.405,0.,0.405
24,0.519,0.,0.519,0.496,0.004,0.492,0.009,0.,0.009,0.009,0.,0.009,0.014,0.,0.014,0.013,0.,0.013,0.495,0.,0.495,0.472,0.003,0.468
25,0.558,0.,0.558,0.525,0.,0.525,0.01,0.,0.01,0.01,0.,0.01,0.013,0.,0.013,0.014,0.,0.014,0.534,0.,0.534,0.5,0.,0.499
30,0.8,0.,0.8,0.759,0.,0.759,0.013,0.,0.013,0.014,0.,0.014,0.02,0.,0.02,0.016,0.,0.016,0.766,0.,0.766,0.728,0.,0.728
35,1.155,0.,1.15,1.12,0.,1.12,0.018,0.,0.018,0.018,0.,0.018,0.024,0.,0.024,0.024,0.,0.024,1.111,0.,1.106,1.076,0.,1.076
40,1.528,0.,1.528,1.446,0.,1.446,0.022,0.,0.022,0.021,0.,0.021,0.024,0.,0.024,0.023,0.,0.023,1.48,0.,1.48,1.4,0.,1.4
45,2.067,0.,2.067,2.041,0.,2.04,0.029,0.,0.029,0.031,0.,0.031,0.037,0.,0.037,0.031,0.,0.031,1.999,0.,1.999,1.977,0.,1.977
50,2.676,0.,2.676,2.673,0.008,2.664,0.034,0.,0.034,0.034,0.,0.034,0.038,0.,0.038,0.042,0.003,0.038,2.603,0.,2.603,2.595,0.004,2.591
