param-n,rewrite-strat(bottomup)-regression-exponential-real,rewrite-strat(bottomup)-regression-exponential-sys,rewrite-strat(bottomup)-regression-exponential-user,rewrite-strat(topdown)-regression-exponential-real,rewrite-strat(topdown)-regression-exponential-sys,rewrite-strat(topdown)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
0,0.002,0.,0.001,0.003,0.,0.003,0.002,0.,0.002
1,0.001,0.,0.001,0.001,0.,0.001,0.002,0.,0.002
2,0.002,0.,0.002,0.002,0.,0.002,0.004,0.,0.004
3,0.004,0.,0.004,0.003,0.,0.003,0.005,0.,0.005
4,0.005,0.003,0.002,0.005,0.005,0.,0.006,0.,0.006
5,0.009,0.008,0.,0.008,0.,0.008,0.01,0.003,0.007
6,0.011,0.003,0.007,0.01,0.,0.01,0.01,0.,0.009
7,0.01,0.003,0.007,0.011,0.003,0.007,0.011,0.007,0.003
8,0.013,0.008,0.004,0.014,0.008,0.006,0.012,0.004,0.008
9,0.015,0.013,0.001,0.016,0.011,0.005,0.015,0.008,0.007
10,0.019,0.011,0.007,0.017,0.008,0.009,0.076,0.026,0.049
11,0.023,0.011,0.011,0.02,0.008,0.012,0.015,0.,0.015
12,0.025,0.01,0.014,0.025,0.007,0.018,0.017,0.,0.016
13,0.08,0.008,0.072,0.079,0.003,0.075,0.02,0.,0.02
14,,,,0.026,0.,0.026,0.022,0.,0.022
15,0.087,0.007,0.079,0.086,0.011,0.074,0.027,0.,0.027
16,,,,,,,0.027,0.,0.027
17,,,,,,,0.028,0.,0.028
18,,,,,,,0.033,0.,0.033
19,,,,,,,0.032,0.,0.032
20,0.054,0.,0.054,,,,0.035,0.,0.035
21,,,,,,,0.037,0.,0.037
22,,,,0.072,0.,0.072,0.053,0.012,0.04
23,,,,,,,0.044,0.,0.044
24,,,,,,,0.044,0.,0.044
25,,,,,,,0.047,0.,0.047
26,0.097,0.,0.097,,,,0.058,0.,0.058
27,,,,,,,0.055,0.,0.055
28,,,,,,,0.059,0.,0.059
29,,,,,,,0.064,0.,0.064
30,,,,0.161,0.,0.161,0.067,0.,0.067
31,,,,,,,0.067,0.,0.067
32,,,,,,,0.074,0.,0.074
33,0.173,0.,0.173,,,,0.078,0.,0.078
34,,,,,,,0.084,0.,0.084
35,,,,,,,0.091,0.,0.091
36,,,,,,,0.094,0.,0.094
37,,,,0.234,0.,0.234,0.091,0.,0.091
38,,,,,,,0.102,0.,0.101
39,0.273,0.003,0.269,,,,0.111,0.,0.111
40,,,,,,,0.101,0.,0.101
41,,,,,,,0.118,0.,0.117
42,,,,,,,0.12,0.,0.12
43,,,,,,,0.195,0.031,0.163
44,,,,,,,0.131,0.,0.131
45,,,,0.376,0.002,0.373,0.137,0.,0.137
46,0.4,0.004,0.396,,,,0.14,0.,0.14
47,,,,,,,0.151,0.,0.151
48,,,,,,,0.156,0.,0.156
49,,,,,,,0.163,0.,0.163
50,,,,,,,0.163,0.,0.163
51,,,,,,,0.165,0.,0.165
52,0.549,0.,0.549,,,,,,
53,,,,0.602,0.004,0.598,0.185,0.007,0.177
54,,,,,,,0.197,0.,0.196
55,,,,,,,0.207,0.,0.207
56,,,,,,,0.218,0.003,0.214
58,,,,,,,0.231,0.,0.231
59,,,,,,,0.217,0.003,0.213
60,,,,,,,0.231,0.,0.231
61,,,,,,,0.222,0.,0.222
62,0.849,0.,0.849,,,,,,
63,,,,0.942,0.,0.942,0.249,0.007,0.242
64,,,,,,,0.275,0.,0.275
65,,,,,,,0.265,0.,0.265
66,,,,,,,0.274,0.004,0.27
68,,,,,,,0.284,0.,0.284
69,,,,,,,0.298,0.004,0.294
70,,,,,,,0.303,0.003,0.299
71,,,,,,,0.314,0.,0.314
73,1.323,0.,1.323,,,,0.335,0.,0.335
74,,,,1.52,0.003,1.517,0.343,0.003,0.34
75,,,,,,,0.37,0.,0.369
78,,,,,,,0.408,0.007,0.4
80,,,,,,,0.423,0.,0.423
83,1.869,0.,1.869,,,,0.471,0.,0.471
84,,,,2.082,0.007,2.072,,,
85,,,,,,,0.479,0.007,0.471
88,,,,,,,0.49,0.,0.49
90,,,,,,,0.51,0.011,0.499
93,,,,,,,0.546,0.,0.546
94,2.675,0.011,2.663,,,,,,
95,,,,3.016,0.007,3.007,0.562,0.,0.562
98,,,,,,,0.589,0.003,0.585
100,,,,,,,0.625,0.,0.625
104,3.513,0.004,3.508,,,,,,
105,,,,3.846,0.,3.845,,,
106,,,,,,,0.702,0.016,0.686
120,,,,,,,0.891,0.,0.891
140,,,,,,,1.241,0.,1.24
159,,,,,,,1.706,0.,1.706
179,,,,,,,2.038,0.,2.035
199,,,,,,,2.515,0.,2.514
