Params: n= 50
Tactic call build-thunk-regression-linear ran for 0.008 secs (0.002u,0.005s) (success)
Tactic call eval-thunk-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call build-eval-thunk-regression-linear ran for 0.008 secs (0.002u,0.006s) (success)
Tactic call build-I-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call check-I-regression-linear ran for 0.002 secs (0.001u,0.s) (success)
Tactic call type-I-regression-linear ran for 0.001 secs (0.u,0.001s) (success)
Tactic call build-admit-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call check-admit-regression-quadratic ran for 0.002 secs (0.u,0.002s) (success)
Tactic call type-admit-regression-quadratic ran for 0.001 secs (0.u,0.001s) (success)
Tactic call build-admit-cast-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call check-admit-cast-regression-quadratic ran for 0.002 secs (0.u,0.002s) (success)
Tactic call type-admit-cast-regression-quadratic ran for 0.001 secs (0.001u,0.s) (success)
Tactic call build-pf-cast-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call check-pf-cast-regression-quadratic ran for 0.002 secs (0.002u,0.s) (success)
Tactic call type-pf-cast-regression-quadratic ran for 0.001 secs (0.001u,0.s) (success)
Tactic call refine-regression-quadratic-regression-linear ran for 0.002 secs (0.002u,0.s) (success)
Tactic call fast_rewrite-regression-quadratic ran for 0.029 secs (0.013u,0.015s) (success)
Tactic call abstract-regression-quadratic ran for 0.032 secs (0.016u,0.016s) (success)
Tactic call close-abstract-regression-quadratic ran for 0.002 secs (0.002u,0.s)
Params: n= 100
Tactic call build-thunk-regression-linear ran for 0.016 secs (0.016u,0.s) (success)
Tactic call eval-thunk-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call build-eval-thunk-regression-linear ran for 0.017 secs (0.017u,0.s) (success)
Tactic call build-I-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call check-I-regression-linear ran for 0.003 secs (0.001u,0.002s) (success)
Tactic call type-I-regression-linear ran for 0.002 secs (0.001u,0.001s) (success)
Tactic call build-admit-regression-linear ran for 0.001 secs (0.u,0.001s) (success)
Tactic call check-admit-regression-quadratic ran for 0.055 secs (0.046u,0.009s) (success)
Tactic call type-admit-regression-quadratic ran for 0.003 secs (0.002u,0.001s) (success)
Tactic call build-admit-cast-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call check-admit-cast-regression-quadratic ran for 0.003 secs (0.003u,0.s) (success)
Tactic call type-admit-cast-regression-quadratic ran for 0.003 secs (0.003u,0.s) (success)
Tactic call build-pf-cast-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call check-pf-cast-regression-quadratic ran for 0.004 secs (0.004u,0.s) (success)
Tactic call type-pf-cast-regression-quadratic ran for 0.003 secs (0.003u,0.s) (success)
Tactic call refine-regression-quadratic-regression-linear ran for 0.003 secs (0.003u,0.s) (success)
Tactic call fast_rewrite-regression-quadratic ran for 0.104 secs (0.088u,0.015s) (success)
Tactic call abstract-regression-quadratic ran for 0.111 secs (0.096u,0.015s) (success)
Tactic call close-abstract-regression-quadratic ran for 0.007 secs (0.007u,0.s)
Params: n= 150
Tactic call build-thunk-regression-linear ran for 0.015 secs (0.015u,0.s) (success)
Tactic call eval-thunk-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call build-eval-thunk-regression-linear ran for 0.015 secs (0.015u,0.s) (success)
Tactic call build-I-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call check-I-regression-linear ran for 0.003 secs (0.003u,0.s) (success)
Tactic call type-I-regression-linear ran for 0.003 secs (0.003u,0.s) (success)
Tactic call build-admit-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call check-admit-regression-quadratic ran for 0.006 secs (0.006u,0.s) (success)
Tactic call type-admit-regression-quadratic ran for 0.006 secs (0.006u,0.s) (success)
Tactic call build-admit-cast-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call check-admit-cast-regression-quadratic ran for 0.008 secs (0.008u,0.s) (success)
Tactic call type-admit-cast-regression-quadratic ran for 0.006 secs (0.006u,0.s) (success)
Tactic call build-pf-cast-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call check-pf-cast-regression-quadratic ran for 0.007 secs (0.007u,0.s) (success)
Tactic call type-pf-cast-regression-quadratic ran for 0.007 secs (0.007u,0.s) (success)
Tactic call refine-regression-quadratic-regression-linear ran for 0.007 secs (0.007u,0.s) (success)
Tactic call fast_rewrite-regression-quadratic ran for 0.076 secs (0.076u,0.s) (success)
Tactic call abstract-regression-quadratic ran for 0.089 secs (0.089u,0.s) (success)
Tactic call close-abstract-regression-quadratic ran for 0.012 secs (0.012u,0.s)
Params: n= 200
Tactic call build-thunk-regression-linear ran for 0.02 secs (0.02u,0.s) (success)
Tactic call eval-thunk-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call build-eval-thunk-regression-linear ran for 0.02 secs (0.02u,0.s) (success)
Tactic call build-I-regression-linear ran for 0.001 secs (0.001u,0.s) (success)
Tactic call check-I-regression-linear ran for 0.004 secs (0.004u,0.s) (success)
