param-n,cbn-regression-cubic-real,cbn-regression-cubic-sys,cbn-regression-cubic-user,cbv-regression-quadratic-real,cbv-regression-quadratic-sys,cbv-regression-quadratic-user,lazy-regression-quadratic-real,lazy-regression-quadratic-sys,lazy-regression-quadratic-user,native-compute(1)-native-compute-compilation-real,native-compute(1)-native-compute-conversion-to-native-code-real,native-compute(1)-native-compute-evaluation-real,native-compute(1)-native-compute-reification-real,native-compute(1)-regression-quadratic-real,native-compute(1)-regression-quadratic-sys,native-compute(1)-regression-quadratic-user,native-compute(2)-native-compute-compilation-real,native-compute(2)-native-compute-conversion-to-native-code-real,native-compute(2)-native-compute-evaluation-real,native-compute(2)-native-compute-reification-real,native-compute(2)-regression-quadratic-real,native-compute(2)-regression-quadratic-sys,native-compute(2)-regression-quadratic-user,simpl-regression-cubic-real,simpl-regression-cubic-sys,simpl-regression-cubic-user,vm-compute-regression-quadratic-real,vm-compute-regression-quadratic-sys,vm-compute-regression-quadratic-user
2,0.002,0.,0.001,0.,0.,0.,0.,0.,0.,0.08470,0.00026,0.00036,0.00004,0.085,0.004,0.,0.08336,0.00032,0.00035,0.00004,0.084,0.,0.003,0.001,0.,0.001,0.,0.,0.
3,0.003,0.,0.003,0.,0.,0.,0.,0.,0.,0.08272,0.00027,0.00034,0.00005,0.083,0.002,0.002,0.08084,0.00028,0.00034,0.00005,0.081,0.001,0.002,0.003,0.,0.003,0.,0.,0.
4,0.007,0.,0.007,0.,0.,0.,0.,0.,0.,0.07895,0.00031,0.00029,0.00004,0.079,0.,0.003,0.07794,0.00027,0.00034,0.00004,0.078,0.,0.003,0.007,0.,0.007,0.,0.,0.
5,0.012,0.,0.012,0.,0.,0.,0.,0.,0.,0.07918,0.00024,0.00032,0.00008,0.079,0.003,0.,0.08080,0.00032,0.00030,0.00005,0.081,0.003,0.,0.011,0.,0.011,0.,0.,0.
6,0.036,0.011,0.025,0.,0.,0.,0.,0.,0.,0.08491,0.00025,0.00034,0.00005,0.085,0.003,0.,0.08540,0.00028,0.00033,0.00006,0.086,0.,0.003,0.033,0.,0.033,0.,0.,0.
7,0.031,0.,0.031,0.,0.,0.,0.,0.,0.,0.07949,0.00029,0.00035,0.00005,0.08,0.,0.003,0.08539,0.00028,0.00032,0.00006,0.086,0.,0.003,0.026,0.,0.026,0.,0.,0.
8,0.038,0.,0.038,0.,0.,0.,0.,0.,0.,0.08324,0.00054,0.00029,0.00005,0.084,0.,0.003,0.08393,0.00026,0.00040,0.00007,0.084,0.,0.003,0.062,0.,0.062,0.,0.,0.
9,0.075,0.,0.075,0.,0.,0.,0.,0.,0.,0.08897,0.00027,0.00033,0.00006,0.089,0.003,0.001,0.08164,0.00034,0.00030,0.00008,0.082,0.,0.003,0.051,0.,0.051,0.,0.,0.
10,0.067,0.,0.067,0.,0.,0.,0.,0.,0.,0.08656,0.00029,0.00033,0.00006,0.087,0.,0.003,0.08358,0.00034,0.00039,0.00006,0.084,0.,0.003,0.063,0.,0.063,0.,0.,0.
11,0.103,0.004,0.098,0.,0.,0.,,,,,,,,,,,,,,,,,,0.094,0.004,0.09,,,
