param-n,abstract-regression-linear-real,abstract-regression-linear-sys,abstract-regression-linear-user,reify-regression-cubic-real,reify-regression-cubic-sys,reify-regression-cubic-user
1,0.,0.,0.,0.001,0.,0.001
2,0.,0.,0.,0.002,0.002,0.
3,0.,0.,0.,0.003,0.003,0.
4,0.,0.,0.,0.004,0.004,0.
5,0.,0.,0.,0.005,0.,0.005
6,0.,0.,0.,0.008,0.,0.008
7,0.,0.,0.,0.01,0.,0.01
8,0.,0.,0.,0.012,0.,0.012
9,0.,0.,0.,0.013,0.,0.013
10,0.,0.,0.,0.056,0.003,0.053
11,0.,0.,0.,0.012,0.,0.012
12,0.,0.,0.,0.014,0.,0.014
13,0.,0.,0.,0.018,0.,0.018
14,0.,0.,0.,0.019,0.,0.019
15,0.,0.,0.,0.023,0.,0.023
16,0.,0.,0.,0.028,0.,0.028
17,0.,0.,0.,0.026,0.,0.026
18,0.,0.,0.,0.032,0.,0.032
19,0.,0.,0.,0.035,0.,0.035
20,0.,0.,0.,0.04,0.,0.04
21,0.,0.,0.,0.041,0.,0.041
22,0.,0.,0.,0.053,0.,0.053
23,0.,0.,0.,0.055,0.,0.055
24,0.004,0.,0.004,0.057,0.,0.057
25,0.,0.,0.,0.062,0.,0.062
26,0.,0.,0.,0.071,0.,0.071
27,0.,0.,0.,0.072,0.,0.072
28,0.,0.,0.,0.079,0.,0.079
29,0.,0.,0.,0.083,0.,0.083
30,0.,0.,0.,0.091,0.,0.091
31,0.,0.,0.,0.103,0.,0.103
32,0.,0.,0.,0.112,0.,0.112
33,0.,0.,0.,0.121,0.,0.121
34,0.,0.,0.,0.121,0.,0.121
35,0.,0.,0.,0.131,0.,0.131
36,0.,0.,0.,0.148,0.,0.148
37,0.,0.,0.,0.156,0.003,0.152
38,0.,0.,0.,0.169,0.,0.169
39,0.,0.,0.,0.174,0.003,0.17
40,0.,0.,0.,0.186,0.,0.186
41,0.001,0.,0.001,0.195,0.,0.195
42,0.001,0.,0.001,0.206,0.,0.206
43,0.001,0.,0.001,0.215,0.,0.215
44,0.001,0.,0.001,0.228,0.,0.228
45,0.001,0.,0.001,0.249,0.,0.249
46,0.001,0.,0.001,0.26,0.,0.26
47,0.001,0.,0.001,0.304,0.003,0.3
48,0.001,0.,0.001,0.288,0.,0.288
49,0.001,0.,0.001,0.303,0.003,0.299
50,0.001,0.,0.001,0.318,0.,0.318
51,0.001,0.,0.001,0.356,0.,0.356
52,0.001,0.,0.001,0.359,0.,0.359
53,0.001,0.,0.001,0.381,0.,0.381
54,0.001,0.,0.001,0.407,0.,0.407
55,0.001,0.,0.001,0.423,0.003,0.419
56,0.001,0.,0.001,0.445,0.,0.445
57,0.001,0.,0.001,0.454,0.003,0.45
58,0.002,0.,0.002,0.483,0.003,0.479
59,0.001,0.,0.001,0.519,0.003,0.515
60,0.001,0.,0.001,0.526,0.,0.526
61,0.001,0.,0.001,0.543,0.,0.543
62,0.001,0.,0.001,0.577,0.,0.577
63,0.001,0.,0.001,0.598,0.003,0.594
64,0.001,0.,0.001,0.636,0.003,0.632
65,0.001,0.,0.001,0.674,0.,0.674
66,0.001,0.,0.001,0.683,0.,0.683
67,0.001,0.,0.001,0.738,0.,0.738
68,0.001,0.,0.001,0.749,0.,0.749
69,0.001,0.,0.001,0.767,0.,0.767
70,0.001,0.,0.001,0.794,0.,0.794
71,0.001,0.,0.001,0.828,0.,0.828
72,0.001,0.,0.001,0.871,0.,0.871
73,0.001,0.,0.001,0.903,0.003,0.899
74,0.001,0.,0.001,0.956,0.,0.956
75,0.001,0.,0.001,0.998,0.,0.998
76,0.001,0.,0.001,1.03,0.,1.03
77,0.001,0.,0.001,1.07,0.,1.07
78,0.001,0.,0.001,1.09,0.,1.09
79,0.001,0.,0.001,1.144,0.,1.144
80,0.001,0.,0.001,1.178,0.,1.178
81,0.001,0.,0.001,1.227,0.,1.227
82,0.001,0.,0.001,1.27,0.,1.27
83,0.002,0.,0.002,1.348,0.,1.348
84,0.001,0.,0.001,1.382,0.,1.382
85,0.002,0.,0.002,1.412,0.,1.412
86,0.001,0.,0.001,1.483,0.,1.483
87,0.002,0.,0.002,1.541,0.007,1.532
88,0.002,0.,0.002,1.569,0.004,1.565
89,0.002,0.,0.002,1.642,0.,1.642
90,0.002,0.,0.002,1.705,0.,1.705
91,0.002,0.,0.002,1.757,0.,1.757
92,0.002,0.,0.002,1.794,0.,1.794
93,0.002,0.,0.002,1.852,0.,1.852
94,0.002,0.,0.002,1.928,0.,1.928
95,0.002,0.,0.002,2.019,0.,2.019
96,0.002,0.,0.002,2.096,0.,2.096
97,0.002,0.,0.002,2.111,0.,2.111
98,0.002,0.,0.002,2.183,0.,2.183
99,0.002,0.,0.002,2.255,0.,2.255
100,0.002,0.,0.002,2.372,0.,2.371
110,0.002,0.,0.002,3.978,0.028,3.949
120,0.003,0.,0.003,5.044,0.003,5.037
130,0.003,0.,0.003,6.549,0.016,6.533
140,0.003,0.,0.003,8.532,0.024,8.508
150,0.004,0.,0.004,10.571,0.027,10.541
160,0.004,0.,0.004,13.179,0.004,13.174
170,0.004,0.,0.004,16.041,0.,16.04
180,0.004,0.,0.004,19.359,0.,19.358
190,0.005,0.,0.005,23.68,0.,23.671
200,0.004,0.,0.004,28.072,0.,28.072
