param-n,abstract-regression-linear-real,abstract-regression-linear-sys,abstract-regression-linear-user,reify-regression-cubic-real,reify-regression-cubic-sys,reify-regression-cubic-user
1,0.001,0.,0.001,0.002,0.,0.002
2,0.001,0.,0.001,0.003,0.003,0.
3,0.,0.,0.,0.006,0.,0.006
4,0.,0.,0.,0.008,0.004,0.004
5,0.001,0.,0.,0.01,0.003,0.006
6,0.001,0.001,0.,0.012,0.004,0.008
7,0.,0.,0.,0.014,0.002,0.012
8,0.002,0.,0.002,0.016,0.007,0.009
9,0.001,0.,0.,0.073,0.007,0.065
10,0.001,0.,0.001,0.018,0.,0.018
11,0.001,0.,0.001,0.024,0.,0.024
12,0.001,0.,0.001,0.023,0.,0.023
13,0.001,0.,0.001,0.026,0.,0.026
14,0.001,0.,0.001,0.029,0.,0.029
15,0.001,0.,0.001,0.035,0.,0.035
16,0.002,0.,0.002,0.036,0.,0.036
17,0.001,0.,0.001,0.041,0.002,0.038
18,0.002,0.,0.002,0.046,0.,0.046
19,0.001,0.,0.001,0.055,0.,0.055
20,0.001,0.,0.001,0.052,0.,0.052
21,0.001,0.,0.001,0.059,0.,0.059
22,0.002,0.,0.002,0.067,0.,0.067
23,0.002,0.,0.002,0.074,0.,0.074
24,0.002,0.,0.002,0.089,0.,0.089
25,0.002,0.,0.002,0.085,0.,0.085
26,0.002,0.,0.002,0.091,0.,0.091
27,0.002,0.,0.002,0.091,0.,0.091
28,0.002,0.,0.002,0.106,0.,0.106
29,0.002,0.,0.002,0.105,0.,0.105
30,0.002,0.,0.002,0.115,0.,0.115
31,0.002,0.,0.002,0.125,0.,0.125
32,0.003,0.,0.003,0.123,0.,0.123
33,0.002,0.,0.002,0.133,0.,0.133
34,0.003,0.,0.003,0.145,0.,0.145
35,0.002,0.,0.002,0.159,0.,0.159
36,0.002,0.,0.002,0.177,0.,0.177
37,0.003,0.,0.003,0.181,0.,0.181
38,0.002,0.,0.002,0.186,0.,0.186
39,0.002,0.,0.002,0.201,0.,0.201
40,0.003,0.,0.003,0.201,0.,0.201
41,0.003,0.,0.003,0.205,0.,0.205
42,0.005,0.,0.005,0.217,0.,0.217
43,0.003,0.,0.003,0.222,0.,0.222
44,0.003,0.,0.003,0.242,0.,0.242
45,0.003,0.,0.003,0.256,0.,0.256
46,0.003,0.,0.003,0.271,0.003,0.268
47,0.003,0.,0.003,0.278,0.,0.278
48,0.003,0.,0.003,0.284,0.,0.284
49,0.004,0.,0.004,0.303,0.007,0.295
50,0.003,0.,0.003,0.317,0.,0.317
51,0.003,0.,0.003,0.334,0.,0.334
52,0.003,0.,0.003,0.354,0.003,0.35
53,0.003,0.,0.003,0.36,0.,0.36
54,0.004,0.,0.004,0.374,0.,0.374
55,0.004,0.,0.004,0.392,0.003,0.388
56,0.003,0.,0.003,0.379,0.,0.379
57,0.004,0.,0.004,0.419,0.008,0.411
58,0.004,0.,0.004,0.44,0.,0.44
59,0.005,0.,0.005,0.444,0.004,0.44
60,0.005,0.003,0.001,0.476,0.003,0.472
61,0.004,0.,0.004,0.482,0.,0.482
62,0.004,0.,0.004,0.477,0.,0.477
63,0.015,0.,0.015,0.545,0.,0.545
64,0.004,0.,0.004,0.563,0.,0.563
65,0.005,0.,0.005,0.583,0.,0.583
66,0.004,0.,0.004,0.578,0.,0.578
67,0.005,0.,0.005,0.592,0.,0.592
68,0.005,0.,0.005,0.646,0.,0.646
69,0.007,0.,0.007,0.607,0.,0.607
70,0.005,0.,0.005,0.621,0.,0.621
71,0.005,0.,0.005,0.668,0.,0.668
72,0.005,0.,0.005,0.755,0.,0.755
73,0.004,0.,0.004,0.736,0.,0.736
74,0.005,0.,0.005,0.752,0.,0.752
75,0.005,0.,0.005,0.753,0.,0.753
76,0.005,0.,0.005,0.803,0.,0.803
77,0.005,0.,0.005,0.788,0.,0.788
78,0.005,0.,0.005,0.852,0.,0.852
79,0.005,0.,0.005,0.844,0.,0.844
80,0.005,0.,0.005,0.896,0.,0.896
81,0.005,0.,0.005,0.914,0.,0.914
82,0.005,0.,0.005,0.946,0.003,0.942
83,0.006,0.,0.006,0.957,0.004,0.953
84,0.005,0.,0.005,0.972,0.003,0.968
85,0.005,0.,0.005,0.977,0.,0.977
86,0.007,0.,0.007,1.168,0.,1.168
87,0.005,0.,0.005,1.068,0.,1.068
88,0.006,0.,0.006,1.048,0.,1.048
89,0.005,0.,0.005,1.109,0.,1.109
90,0.005,0.,0.005,1.116,0.,1.116
91,0.005,0.,0.005,1.16,0.,1.16
92,0.006,0.,0.006,1.21,0.,1.21
93,0.006,0.,0.006,1.203,0.,1.203
94,0.006,0.,0.006,1.312,0.003,1.308
95,0.006,0.,0.006,1.308,0.,1.308
96,0.007,0.,0.007,1.352,0.,1.351
97,0.007,0.,0.007,1.409,0.,1.409
98,0.007,0.,0.007,1.446,0.,1.446
99,0.006,0.,0.006,1.403,0.,1.403
100,0.006,0.,0.006,1.496,0.,1.496
